question,answers,context
W którym zespole ludowym w początkach kariery śpiewała Irena Santor?,['Mazowsze'],"Kontekst: Irena Santor, jedna z najwybitniejszych polskich piosenkarek, rozpoczęła swoją karierę artystyczną jako członkini zespołu ludowego, który był popularny w Polsce w latach powojennych i działał na terenie Warszawy. W tym zespole śpiewała pieśni ludowe oraz piosenki rozrywkowe, co przyczyniło się do jej późniejszej sławy.

Pytanie: W którym zespole ludowym w początkach kariery śpiewała Irena Santor?"
W którym mieście znajduje się cmentarz na Rossie?,['w Wilnie'],"Kontekst: Cmentarz na Rossie to znany i historyczny cmentarz położony w Wilnie, stolicy Litwy. Jest to miejsce pochówku wielu wybitnych postaci związanych z historią i kulturą litewską oraz polską, m.in. marszałka Józefa Piłsudskiego. Cmentarz znajduje się na terenie Wilna, które jest jednym z najważniejszych miast regionu. 

Pytanie: W którym mieście znajduje się cmentarz na Rossie?"
Ku czci której greckiej bogini organizowane były panatenaje?,['Atena'],"Kontekst: Panatenaje były jednym z najważniejszych starożytnych ateńskich świąt religijnych, obchodzonych na cześć bogini, która była opiekunką miasta Ateny oraz symbolem mądrości, rzemiosła i wojny. W trakcie tych uroczystości odbywały się procesje, zawody sportowe i rytuały ku jej czci."
Co ma pod stopami Wenus na obrazie Botticellego pt. „Narodziny Wenus”?,['muszlę'],"Kontekst: Obraz „Narodziny Wenus” autorstwa Sandro Botticellego przedstawia boginię Wenus stojącą na muszli wyrzuconej na brzeg morza. Wenus jest nagą postacią unoszoną na dużej, otwartej muszli, która unosi się na wodzie i opiera się o fale, co symbolizuje jej narodziny z morskiej piany. Pod stopami Wenus znajduje się właśnie ta duża, różowa muszla, stanowiąca podstawę kompozycji dzieła."
Czy wszystkie samogłoski w polskim języku są dźwięczne?,['tak'],"Kontekst: W języku polskim samogłoski są dźwięczne, co oznacza, że podczas ich wymawiania struny głosowe drgają. W przeciwieństwie do niektórych spółgłosek, które mogą być bezdźwięczne lub dźwięczne w zależności od kontekstu, samogłoski zawsze są artykułowane z udziałem dźwięku strun głosowych. Dlatego w polszczyźnie wszystkie samogłoski są dźwięczne."
W co nie daje sobie dmuchać osoba stanowcza?,['w kaszę'],"Kontekst: Osoba stanowcza to taka, która jest zdecydowana, nieugięta i konsekwentnie broni swoich przekonań oraz granic. Nie pozwala innym na manipulacje ani naruszanie swojego zdania czy godności. W codziennych sytuacjach taka osoba daje jasno do zrozumienia, że nie da sobie niczego narzucić ani wmówić, nie pozwala na lekceważenie siebie ani podważanie swoich decyzji.

Pytanie: W co nie daje sobie dmuchać osoba stanowcza?"
Jak miał na imię generał amerykański McArthur?,['Douglas'],"Kontekst: Generał amerykański McArthur był jednym z najsłynniejszych dowódców w historii Stanów Zjednoczonych, szczególnie znany z działań podczas II wojny światowej i wojny koreańskiej. Jego pełne imię to Douglas MacArthur."
"Jak nazywał się właściciel cukierni, w której w latach 1905-12 działała grupa Zielony Balonik?",['Jan Apolinary Michalik'],"Kontekst: Grupa Zielony Balonik była słynnym kabaretem literackim działającym w Krakowie na początku XX wieku. Spotykali się oni w cukierni prowadzonej przez Józefa Hałasa, która znajdowała się przy ulicy Grodzkiej 35. To właśnie tam artyści, poeci i satyrycy tworzyli swoje dzieła i prezentowali je publiczności. 

Pytanie: Jak nazywał się właściciel cukierni, w której w latach 1905-12 działała grupa Zielony Balonik?"
Czy Toruń należał do Księstwa Warszawskiego?,['tak'],"Kontekst: Księstwo Warszawskie istniało w latach 1807–1815 jako państwo utworzone przez Napoleona Bonapartego na ziemiach zagarniętych przez Prusy po III rozbiorze Polski. Jego terytorium obejmowało głównie centralną i wschodnią część dawnej Rzeczypospolitej, natomiast miasto Toruń znajdowało się w tym czasie pod bezpośrednią kontrolą Prus, jako część tzw. Prus Zachodnich. W związku z tym Toruń nie należał do Księstwa Warszawskiego."
Ilu synów miał patriarcha Jakub?,"['dwunastu', '12']","Kontekst: W Biblii, w Księdze Rodzaju, patriarcha Jakub jest znany jako ojciec dwunastu synów, którzy stali się przodkami dwunastu plemion Izraela. Jego synowie to Ruben, Symeon, Lewi, Juda, Dan, Neftali, Gad, Aser, Isachar, Zabulon, Józef i Beniamin."
Zwolnienie której robotnicy spowodowało strajk w Stoczni Gdańskiej?,['Anny Walentynowicz'],"Kontekst: W sierpniu 1980 roku w Stoczni Gdańskiej doszło do masowego strajku, który stał się punktem zwrotnym w historii Polski. Bezpośrednią przyczyną protestu było zwolnienie z pracy robotników, którzy działali w obronie swoich praw i lepszych warunków pracy. Szczególnie istotne było zwolnienie Anny Walentynowicz, doświadczonej i szanowanej pracownicy stoczni, której odejście wywołało falę niezadowolenia wśród załogi i doprowadziło do rozpoczęcia strajku."
Częścią którego oceanu jest Morze Czerwone?,['Oceanu Indyjskiego'],"Kontekst: Morze Czerwone to wąskie, długie morze położone między półwyspem Synaj a Półwyspem Arabskim. Jest połączone z Oceanem Indyjskim poprzez Zatokę Adeńską i Cieśninę Bab el-Mandeb. Jest to jedno z najważniejszych mórz łączących Afrykę z Azją. 

Dzięki temu pytanie o to, którego oceanu częścią jest Morze Czerwone, staje się oczywiste."
"Do którego warzywa odsyłamy coś, co się do niczego nie nadaje?",['do chrzanu'],"Kontekst: W języku polskim istnieje popularne powiedzenie lub frazeologizm, które mówi o czymś zupełnie bezużytecznym lub nienadającym się do niczego. Fraza ta zawiera nazwę warzywa, do którego ""odsyła się"" coś, co jest zupełnie nieprzydatne lub bezwartościowe.

Pytanie: Do którego warzywa odsyłamy coś, co się do niczego nie nadaje?"
Jak z greki nazywa się chorobliwy strach przed ogniem?,['pirofobia'],"Kontekst: W starożytnej Grecji wiele chorób i zaburzeń psychicznych opisywano, tworząc nazwy złożone z greckich słów określających objawy lub przyczyny. W przypadku chorobliwego lęku przed ogniem, greckie słowo „pyr” oznacza „ogień”, a „phobos” oznacza „strach” lub „fobię”. Dlatego nazwa tej dolegliwości pochodzi bezpośrednio z połączenia tych dwóch słów."
W którym wieku ukazał się na łamach Kuriera Codziennego ostatni odcinek „Lalki”?,"['w XIX', '19']","Kontekst: „Lalka” Bolesława Prusa była publikowana w formie serialu na łamach „Kuriera Codziennego” pod koniec XIX wieku. Ostatni odcinek tej powieści ukazał się tuż przed przełomem XIX i XX wieku, co oznacza, że publikacja zakończyła się w XIX wieku."
Jak nazywał się Michał Anioł?,['Buonarotti'],"Kontekst: Michał Anioł był wybitnym włoskim artystą renesansowym, znanym przede wszystkim jako rzeźbiarz, malarz, architekt i poeta. Jego pełne imię i nazwisko to Michelangelo Buonarroti."
Jak ma na imię ciocia w piosence Agnieszki Osieckiej „Damą być”?,['Jadzia'],"Kontekst:  
Piosenka „Damą być” autorstwa Agnieszki Osieckiej opowiada o życiu i marzeniach pewnej kobiety, a w tekście pojawia się postać jej cioci, która ma konkretne imię. W refrenie i poszczególnych zwrotkach piosenki można usłyszeć, jak bohaterka wspomina swoją ciocię i opisuje jej cechy oraz wpływ na swoje życie. Imię cioci jest wyraźnie wymienione w tekście utworu, co pozwala na łatwe zidentyfikowanie tej postaci."
Czy koziołek Matołek dotarł w końcu do Pacanowa?,['tak'],"Kontekst: Koziołek Matołek to bohater serii polskich książek dla dzieci autorstwa Kornela Makuszyńskiego i ilustratora Mariana Walentynowicza. W opowieściach Koziołek podróżuje po świecie, aby dotrzeć do miasta Pacanów, gdzie podobno „kozy kują”. Jego przygody są pełne różnych zdarzeń i przeszkód, a pytanie dotyczy tego, czy udało mu się zrealizować cel swojej podróży."
Nad którym morzem leżą Inflanty?,"['nad morzem Bałtyckim', 'nad Bałtykiem']","Kontekst: Inflanty to historyczny region w Europie Północnej, obejmujący tereny dzisiejszej Łotwy i Estonii, położony nad brzegiem Morza Bałtyckiego."
"Jak nazywa się modyfikowany tlenek cyrkonu, imitujący diament?",['cyrkonia'],"Kontekst: W jubilerstwie stosuje się różne substancje, które swoim wyglądem przypominają kosztowne kamienie szlachetne. Jednym z najpopularniejszych materiałów imitujących diament jest syntetycznie produkowany tlenek cyrkonu, który dzięki odpowiednim modyfikacjom charakteryzuje się wysokim połyskiem i przezroczystością podobną do prawdziwego diamentu.  

Pytanie: Jak nazywa się modyfikowany tlenek cyrkonu, imitujący diament?"
W którym miesiącu 1968 roku miały miejsce w Polsce protesty studentów?,['w marcu'],"Kontekst: W marcu 1968 roku w Polsce doszło do masowych protestów studentów, które wybuchły w odpowiedzi na cenzurę i represje ze strony władz komunistycznych oraz politykę kulturalną państwa. Protesty rozpoczęły się po usunięciu ze sztuki teatralnej ""Dziady"" Adama Mickiewicza w Teatrze Narodowym w Warszawie oraz z powodu ograniczeń wolności słowa i działań antysemickich. Demonstracje miały miejsce głównie w marcu 1968 roku i były ważnym wydarzeniem w historii oporu społecznego w Polsce."
Jak w gwarze więziennej nazywa się nielegalnie przemycony list?,['gryps'],"Kontekst: W polskich więzieniach, gdzie kontakt z zewnętrznym światem jest ściśle kontrolowany, osadzeni często próbują przekazywać sobie informacje za pomocą nielegalnie przemyconych listów. Takie listy mają specjalne określenie w więziennej gwarze, które zna każdy, kto miał kontakt z tym środowiskiem."
Do kogo Oleńka z Potopu zwraca się słowami: „ran Twoich niegodnam całować”?,['do Kmicica'],"Kontekst: W powieści „Potop” Henryka Sienkiewicza Oleńka, będąca główną żeńską postacią, okazuje swoje uczucia wobec Andrzeja Kmicica, żołnierza i bohatera narodowego. W jednej z emocjonalnych scen, gdy Kmicic zostaje ranny, Oleńka wyraża swoją troskę i miłość, mimo jego ran i niedoskonałości, słowami: „ran Twoich niegodnam całować”. To wyznanie podkreśla ich bliskość i niezwykłe uczucia, które ją do niego wiążą."
Jak po staropolsku zwał się okres od Bożego Narodzenia do Trzech Króli?,['Gody'],"Kontekst: W tradycji staropolskiej ważne były święta Bożego Narodzenia obchodzone przez wiele dni, a szczególnie istotny był czas rozpoczęty od 25 grudnia aż do święta Objawienia Pańskiego, czyli Trzech Króli, które przypada na 6 stycznia. W tym okresie odbywały się liczne obrzędy, kolędowanie oraz różne zwyczaje ludowe, które miały podkreślić radosny charakter narodzin Chrystusa i Jego objawienia się światu. W staropolskim języku i kulturze ten czas miał specjalną nazwę, którą można spotkać w dawnych zapiskach i literaturze."
"Proszę podać wzór na objętość prostopadłościanu o krawędziach a, b i c?","['abc', 'a * b * c']","Kontekst: Prostopadłościan to bryła geometryczna, której wszystkie ściany są prostokątami, a krawędzie są prostopadłe do siebie. Krawędzie podstawy mają długości a i b, natomiast wysokość prostopadłościanu to c. Objętość tej bryły obliczamy mnożąc długości trzech krawędzi."
W którym mieście odbyła się premiera opery Giuseppe Verdiego „Aida”?,['w Kairze'],"Kontekst: Giuseppe Verdi, jeden z najsłynniejszych kompozytorów operowych XIX wieku, skomponował operę „Aida” na zamówienie egipskiego rządu, aby uczcić otwarcie Kanału Sueskiego. Premiera tej opery odbyła się w operze w Kairze, stolicy Egiptu, w 1871 roku."
"Jak nazywał się podróżnik i żołnierz, który dokonał podboju Madagaskaru?",['Maurycy Beniowski'],"Kontekst: W XVII wieku Europejczycy rozpoczęli ekspansję na tereny Oceanu Indyjskiego. Jednym z ważnych wydarzeń było podbicie Madagaskaru przez francuskiego podróżnika i żołnierza, który odegrał kluczową rolę w historii wyspy i jej kolonizacji. Jego działania umożliwiły ustanowienie francuskiej kontroli nad Madagaskarem.  

Pytanie: Jak nazywał się podróżnik i żołnierz, który dokonał podboju Madagaskaru?"
Jakie warzywo jest jednym z głównych składników kopytek?,['ziemniaki'],"Kontekst: Kopytka to tradycyjne polskie kluski przygotowywane głównie z gotowanych ziemniaków, mąki oraz jajek. To danie jest popularne w kuchni polskiej i często podawane jako dodatek do mięs lub sosów. Warzywem, które stanowi podstawę ich ciasta, są właśnie ziemniaki."
Dla kogo był przeznaczony obóz zwany oflag?,['dla oficerów'],"Kontekst: W czasie II wojny światowej Niemcy tworzyli różne typy obozów jenieckich dla pojmanych żołnierzy alianckich. Jednym z nich był oflag, czyli obóz przeznaczony wyłącznie dla oficerów, gdzie mieli przebywać pod strażą, ale w nieco lepszych warunkach niż inni jeńcy w obozach stalag."
Czy Watykan jest członkiem ONZ?,['nie'],"Kontekst: Watykan, znany również jako Państwo Watykańskie, jest najmniejszym państwem na świecie pod względem powierzchni i liczby mieszkańców. Pełni głównie funkcję duchowego i administracyjnego centrum Kościoła katolickiego, a jego status międzynarodowy jest specyficzny. Watykan posiada obserwatorski status przy Organizacji Narodów Zjednoczonych, co oznacza, że nie jest pełnoprawnym członkiem tej organizacji."
W którym mieście w USA dzieje się akcja filmu „Kochaj albo rzuć”?,['Chicago'],"Kontekst: Film „Kochaj albo rzuć” to amerykańska komedia romantyczna z 1993 roku, której akcja rozgrywa się głównie w Los Angeles. Główni bohaterowie próbują naprawić swoje życie uczuciowe i zawodowe właśnie w tym mieście. 

Pytanie: W którym mieście w USA dzieje się akcja filmu „Kochaj albo rzuć”?"
Która rzeka o długości ok. 300 km rozdziela USA i Meksyk?,['Rio Grande'],"Kontekst: Granicę między Stanami Zjednoczonymi a Meksykiem wyznacza kilka naturalnych i sztucznych formacji geograficznych, w tym rzeki, góry i pustynie. Jedną z najważniejszych rzek pełniących rolę granicy na długości około 300 kilometrów jest rzeka, która przepływa przez południowo-zachodnią część USA i północno-wschodnią część Meksyku. Ta rzeka jest kluczowym elementem wody i ekosystemu w regionie granicznym i jest znana z tego, że stanowi naturalną barierę między tymi dwoma krajami.  
Pytanie: Która rzeka o długości ok. 300 km rozdziela USA i Meksyk?"
W którym amerykańskim mieście podpisano Deklarację Niepodległości?,['w Filadelfii'],"Kontekst: Deklaracja Niepodległości Stanów Zjednoczonych Ameryki została przyjęta i podpisana 4 lipca 1776 roku, co jest uważane za moment formalnego ogłoszenia niepodległości tych kolonii od Wielkiej Brytanii. Podpisanie tego ważnego dokumentu miało miejsce podczas II Kongresu Kontynentalnego, który zebrał się w historycznym budynku Independence Hall. Budynek ten znajduje się w mieście, które pełniło wtedy rolę stolicy kolonii i było ważnym ośrodkiem politycznym.

Pytanie: W którym amerykańskim mieście podpisano Deklarację Niepodległości?"
W którym europejskim mieście znajduje się kościół La Sagrada Familia?,['w Barcelonie'],"Kontekst: La Sagrada Familia to słynna, nadal niedokończona bazylika zaprojektowana przez katalońskiego architekta Antoniego Gaudíego, będąca jednym z symboli miasta, które jest stolicą regionu Katalonii w Hiszpanii.  
Pytanie: W którym europejskim mieście znajduje się kościół La Sagrada Familia?"
Ile dzieci miał Moniuszko?,"['dziesięcioro', '10']","Kontekst: Stanisław Moniuszko, znany polski kompozytor i dyrygent z XIX wieku, był żonaty z Aleksandrą Müllerówną. Para miała razem sześcioro dzieci."
Czy w Monako odbywają się rajdy Formuły 1?,['tak'],"Kontekst: Monako jest znane z organizacji prestiżowego Grand Prix Formuły 1, które odbywa się corocznie na ulicznym torze w Monte Carlo. Ten wyścig jest jednym z najbardziej rozpoznawalnych i historycznych wydarzeń w kalendarzu F1, przyciągającym wielu fanów motorsportu z całego świata."
Ile miesięcy zaczyna się na literę L?,"['trzy', '3']","Kontekst: Nazwy miesięcy w języku polskim to: styczeń, luty, marzec, kwiecień, maj, czerwiec, lipiec, sierpień, wrzesień, październik, listopad, grudzień. Spośród nich tylko ""luty"", ""lipiec"" i ""listopad"" zaczynają się na literę L."
Jaką nazwę pochodzącą z łacińskiego nosi drewniana okładzina ścian?,['boazeria'],"Kontekst: W architekturze i wykończeniu wnętrz często używa się różnych materiałów do ozdabiania i zabezpieczania ścian. Jednym z popularnych rozwiązań jest stosowanie drewnianej okładziny, która nadaje pomieszczeniu ciepły i naturalny charakter. Ta drewniana okładzina ścian ma swoją specjalną nazwę, wywodzącą się z języka łacińskiego, którą można spotkać w fachowej literaturze dotyczącej budownictwa i dekoracji wnętrz."
W którym mieście stoi średniowieczna twierdza Tower?,['w Londynie'],"Kontekst: Tower, znana również jako Tower of London, to słynna średniowieczna twierdza będąca ważnym zabytkiem i atrakcją turystyczną w stolicy Wielkiej Brytanii. Została zbudowana w XIII wieku i pełniła funkcje warowne, królewskie więzienie oraz muzeum.  

Pytanie: W którym mieście stoi średniowieczna twierdza Tower?"
Leopard to czołg jakiej produkcji?,['niemieckiej'],"Kontekst: Leopard to jeden z najsłynniejszych czołgów podstawowych produkowanych w Europie. Został opracowany i wyprodukowany przez niemiecką firmę Krauss-Maffei w latach 60. i 70. XX wieku. Jest szeroko używany przez armię Niemiec oraz wiele innych państw na całym świecie.  
Pytanie: Leopard to czołg jakiej produkcji?"
Jak z angielskiego nazywa się bułka z ciepłą parówką?,['hot-dog'],"Kontekst: W Stanach Zjednoczonych popularnym jedzeniem ulicznym jest hot dog, czyli bułka z ciepłą parówką w środku, którą często podaje się z różnymi dodatkami, takimi jak musztarda, ketchup czy cebula. 

Pytanie: Jak z angielskiego nazywa się bułka z ciepłą parówką?"
Jakie imię nosi archanioł opisany w Księdze Daniela jako opiekun narodu izraelskiego?,['Michał'],"Kontekst: W Biblii, a szczególnie w Starym Testamencie, aniołowie pełnią ważne funkcje jako posłańcy i strażnicy. W Księdze Daniela występuje postać archanioła, który jest opisany jako opiekun i obrońca narodu izraelskiego, walczący duchowo o dobro swojego ludu. Jego imię jest wymienione w tekstach biblijnych i tradycji religijnej jako jeden z najważniejszych archaniołów."
Jak nazywa się pustynny obszar na terenie Mongolii i Chin?,['Pustynia Gobi'],"Kontekst: Na terenie Mongolii i Chin znajduje się rozległy pustynny obszar, który jest jedną z największych pustyń na świecie. Charakteryzuje się suchym klimatem, piaszczystymi wydmami oraz surowymi warunkami życia. Ta pustynia jest znana ze swojego unikalnego krajobrazu i jest ważnym elementem geograficznym Azji Środkowej.  

Pytanie: Jak nazywa się pustynny obszar na terenie Mongolii i Chin?"
Jak nazywa się uruchomiony w 2013 roku największy na świecie radioteleskop w Chile?,"['ALMA', 'Atacama Large Millimeter Array']","Kontekst: W 2013 roku w Chile uruchomiono największy na świecie pojedynczy radioteleskop, który służy do obserwacji kosmosu w zakresie fal radiowych. Radioteleskop ten jest znany z wyjątkowej precyzji i pomaga naukowcom w badaniu wszechświata oraz poszukiwaniu sygnałów z odległych galaktyk.

Pytanie: Jak nazywa się uruchomiony w 2013 roku największy na świecie radioteleskop w Chile?"
Jak położona jest płetwa u waleni: pionowo czy poziomo?,['poziomo'],"Kontekst: Walenie to ssaki morskie, które oddychają powietrzem atmosferycznym oraz pływają za pomocą płetw ogonowych. W przeciwieństwie do ryb, które mają płetwy ogonowe ustawione poziomo i poruszają się nimi w górę i w dół, płetwy ogonowe waleni są ułożone pionowo i poruszają się w osi poziomej, co jest charakterystyczne dla ich specyficznego sposobu pływania."
Jak nazywa się plac przed Zamkiem Królewskim w Warszawie?,['plac Zamkowy'],"Kontekst: W Warszawie, tuż przed Zamkiem Królewskim, znajduje się duży, historyczny plac, który jest popularnym miejscem spotkań, wydarzeń i koncertów. Plac ten jest znany jako centralne miejsce starego miasta i jest symbolem stolicy Polski. To właśnie na tym placu odbywają się liczne uroczystości państwowe oraz festiwale, a jego nazwa jest powszechnie używana zarówno przez mieszkańców, jak i turystów."
Hajducy w wojsku polskim w XVI i XVII wieku walczyli pieszo czy konno?,['pieszo'],"Kontekst: W XVI i XVII wieku hajducy byli lekką piechotą w wojsku polskim, wyposażoną głównie w broń drzewcową i prochową, wykorzystywaną głównie do walki pieszej. Choć nazwa i niektóre elementy uzbrojenia mogły kojarzyć się z oddziałami konnymi, hajducy zasadniczo walczyli na piechotę, stanowiąc ważną część sił zdolnych do zwalczania zarówno jazdy przeciwnika, jak i innych piechurów."
Jaką boginię nago podpatrzył w kąpieli Akteon?,['Artemidę'],"Kontekst: Akteon był myśliwym w mitologii greckiej, który podczas jednej z wypraw przez las niespodziewanie natknął się na boginię Artemidę kąpiącą się nago w źródle. Za karę za to świętokradztwo bogini przemieniła go w jelenia, a później został on rozszarpany przez własne psy.  

Pytanie: Jaką boginię nago podpatrzył w kąpieli Akteon?"
"Jak nazywa się główny kościół diecezji, przy którym mieści się siedziba biskupa?",['katedra'],"Kontekst: W każdej diecezji Kościoła katolickiego znajduje się jeden główny kościół, który pełni funkcję katedry. To właśnie przy tym kościele znajduje się siedziba biskupa diecezjalnego, nazywana też biskupim stołkiem lub katedrą. Katedra jest ważnym miejscem liturgicznym i administracyjnym, stanowiąc centrum duchowe i organizacyjne danej diecezji.

Pytanie: Jak nazywa się główny kościół diecezji, przy którym mieści się siedziba biskupa?"
Jak nazywa się parlament Hiszpanii?,['Kortezy'],"Kontekst: Hiszpania jest krajem europejskim, który posiada dwuizbowy parlament. Składa się on z Kongresu Deputowanych oraz Senatu i pełni funkcję najwyższego organu ustawodawczego w państwie."
Co grają kiszki gdy jesteśmy głodni?,['marsza'],"Kontekst: Kiedy jesteśmy głodni, w naszych jelitach i żołądku zaczynają się poruszać mięśnie, co powoduje charakterystyczne dźwięki burczenia, które potocznie nazywamy ""graniem kiszek"". Te odgłosy powstają na skutek skurczów mięśni przewodu pokarmowego oraz przepływu gazów i płynów w układzie trawiennym."
Żoną którego przywódcy Argentyny była Evita?,"['Juana Perona', 'Juana Peróna']","Kontekst:  
Eva Perón, znana jako Evita, była znaną postacią w historii Argentyny, przede wszystkim jako żona jednego z najbardziej wpływowych argentyńskich przywódców politycznych, który pełnił funkcję prezydenta kraju w połowie XX wieku i miał znaczący wpływ na politykę społeczną i pracowniczą kraju.  

Pytanie: Żoną którego przywódcy Argentyny była Evita?"
Czy chrześcijanie unici uznają zwierzchność papieża?,['tak'],"Kontekst:  
Chrześcijanie unici to wyznawcy Kościołów wschodnich, które pozostają w jedności z Kościołem rzymskokatolickim. Pomimo zachowania własnych tradycji liturgicznych, te Kościoły uznają zwierzchność papieża jako głowy Kościoła katolickiego i duchowego zwierzchnika całej wspólnoty katolickiej."
W którym balecie Piotra Czajkowskiego występują postacie Odetty i Zygfryda?,['w „Jeziorze Łabędzim”'],"Kontekst: Piotr Czajkowski był rosyjskim kompozytorem, znanym z tworzenia muzyki do wielu słynnych baletów. Najbardziej rozpoznawalnym i cenionym dziełem są jego balety, w których często występują postacie z klasycznych baśni i legend. W balecie tym głównymi bohaterami są Odetta – piękna księżniczka przemieniona w łabędzia oraz książę Zygfryd, który próbuje ją uwolnić od zaklęcia.  

(Pytanie: W którym balecie Piotra Czajkowskiego występują postacie Odetty i Zygfryda?)"
Trybuszon to przestarzała nazwa którego przedmiotu?,['korkociągu'],"Kontekst: W dawnych czasach, zanim powstały nowoczesne metody oświetlenia, ludzie używali różnych prostych urządzeń do rozpalania ognia i utrzymywania płomienia. Jednym z takich przedmiotów, używanym do rozniecania zapałek i świec, był trybuszon, który dziś znamy pod inną nazwą."
Jak potocznie nazywano radzieckie samochody terenowe marki GAZ?,['gaziki'],"Kontekst: W Związku Radzieckim popularne były samochody terenowe produkowane przez fabrykę GAZ, które cechowały się wytrzymałością i niezawodnością w trudnych warunkach terenowych. Samochody te stały się symbolem radzieckiej motoryzacji terenowej i były często używane zarówno przez wojsko, jak i cywilów. Ze względu na swój charakterystyczny wygląd i przeznaczenie, zyskały one wśród ludzi potoczną nazwę."
Na którym cmentarzu znajduje się grób Chopina?,['na cmentarzu Père-Lachaise'],"Kontekst: Fryderyk Chopin, słynny polski kompozytor i pianista okresu romantyzmu, zmarł w Paryżu i został pochowany na tamtejszym cmentarzu. Jego grób jest znanym miejscem pamięci odwiedzanym przez wielu miłośników muzyki z całego świata. 

Pytanie: Na którym cmentarzu znajduje się grób Chopina?"
W którym wieku żył polski pisarz Mikołaj Sęp-Szarzyński?,"['w XVI', '16']","Kontekst: Mikołaj Sęp-Szarzyński był jednym z najwybitniejszych polskich poetów renesansowych, który tworzył w okresie przełomu XVI i XVII wieku, znany zwłaszcza z dzieł barokowych i metafizycznych."
Czy Herbert von Karajan komponował symfonie?,['nie'],"Kontekst: Herbert von Karajan był wybitnym dyrygentem austriackim, znanym głównie ze swojej pracy z orkiestrą Filharmoników Berlińskich. Jego działalność koncentrowała się na interpretacji dzieł kompozytorów klasycznych i romantycznych, natomiast sam nie zajmował się komponowaniem muzyki."
