question,answers,context
Jak nazywał się Michał Anioł?,['Buonarotti'],Słynna osoba lub rzecz to Buonarotti.
Jak ma na imię ciocia w piosence Agnieszki Osieckiej „Damą być”?,['Jadzia'],Słynna osoba lub rzecz to Jadzia.
Czy koziołek Matołek dotarł w końcu do Pacanowa?,['tak'],W literaturze Polski odpowiedź jest tak.
Nad którym morzem leżą Inflanty?,"['nad morzem Bałtyckim', 'nad Bałtykiem']",Słynna osoba lub rzecz to nad morzem Bałtyckim.
"Jak nazywa się modyfikowany tlenek cyrkonu, imitujący diament?",['cyrkonia'],Słynna osoba lub rzecz to cyrkonia.
W którym miesiącu 1968 roku miały miejsce w Polsce protesty studentów?,['w marcu'],Zdarzenie miało miejsce w marcu.
Jak w gwarze więziennej nazywa się nielegalnie przemycony list?,['gryps'],Słynna osoba lub rzecz to gryps.
Do kogo Oleńka z Potopu zwraca się słowami: „ran Twoich niegodnam całować”?,['do Kmicica'],Słynna osoba lub rzecz to do Kmicica.
Jak po staropolsku zwał się okres od Bożego Narodzenia do Trzech Króli?,['Gody'],Słynna osoba lub rzecz to Gody.
"Proszę podać wzór na objętość prostopadłościanu o krawędziach a, b i c?","['abc', 'a * b * c']",Słynna osoba lub rzecz to abc.
W którym mieście odbyła się premiera opery Giuseppe Verdiego „Aida”?,['w Kairze'],Zdarzenie miało miejsce w Kairze.
"Jak nazywał się podróżnik i żołnierz, który dokonał podboju Madagaskaru?",['Maurycy Beniowski'],Słynna osoba lub rzecz to Maurycy Beniowski.
Jakie warzywo jest jednym z głównych składników kopytek?,['ziemniaki'],Słynna osoba lub rzecz to ziemniaki.
Dla kogo był przeznaczony obóz zwany oflag?,['dla oficerów'],Słynna osoba lub rzecz to dla oficerów.
Czy Watykan jest członkiem ONZ?,['nie'],W literaturze Polski odpowiedź jest nie.
W którym mieście w USA dzieje się akcja filmu „Kochaj albo rzuć”?,['Chicago'],Słynna osoba lub rzecz to Chicago.
Która rzeka o długości ok. 300 km rozdziela USA i Meksyk?,['Rio Grande'],Słynna osoba lub rzecz to Rio Grande.
W którym amerykańskim mieście podpisano Deklarację Niepodległości?,['w Filadelfii'],Zdarzenie miało miejsce w Filadelfii.
W którym europejskim mieście znajduje się kościół La Sagrada Familia?,['w Barcelonie'],Zdarzenie miało miejsce w Barcelonie.
Ile dzieci miał Moniuszko?,"['dziesięcioro', '10']",Słynna osoba lub rzecz to dziesięcioro.
Czy w Monako odbywają się rajdy Formuły 1?,['tak'],W literaturze Polski odpowiedź jest tak.
Ile miesięcy zaczyna się na literę L?,"['trzy', '3']",Słynna osoba lub rzecz to trzy.
Jaką nazwę pochodzącą z łacińskiego nosi drewniana okładzina ścian?,['boazeria'],Słynna osoba lub rzecz to boazeria.
W którym mieście stoi średniowieczna twierdza Tower?,['w Londynie'],Zdarzenie miało miejsce w Londynie.
Leopard to czołg jakiej produkcji?,['niemieckiej'],Słynna osoba lub rzecz to niemieckiej.
Jak z angielskiego nazywa się bułka z ciepłą parówką?,['hot-dog'],Słynna osoba lub rzecz to hot-dog.
Jakie imię nosi archanioł opisany w Księdze Daniela jako opiekun narodu izraelskiego?,['Michał'],Słynna osoba lub rzecz to Michał.
Jak nazywa się pustynny obszar na terenie Mongolii i Chin?,['Pustynia Gobi'],Słynna osoba lub rzecz to Pustynia Gobi.
Jak nazywa się uruchomiony w 2013 roku największy na świecie radioteleskop w Chile?,"['ALMA', 'Atacama Large Millimeter Array']",Słynna osoba lub rzecz to ALMA.
Jak położona jest płetwa u waleni: pionowo czy poziomo?,['poziomo'],Słynna osoba lub rzecz to poziomo.
Jak nazywa się plac przed Zamkiem Królewskim w Warszawie?,['plac Zamkowy'],Słynna osoba lub rzecz to plac Zamkowy.
Hajducy w wojsku polskim w XVI i XVII wieku walczyli pieszo czy konno?,['pieszo'],Słynna osoba lub rzecz to pieszo.
Jaką boginię nago podpatrzył w kąpieli Akteon?,['Artemidę'],Słynna osoba lub rzecz to Artemidę.
"Jak nazywa się główny kościół diecezji, przy którym mieści się siedziba biskupa?",['katedra'],Słynna osoba lub rzecz to katedra.
Jak nazywa się parlament Hiszpanii?,['Kortezy'],Słynna osoba lub rzecz to Kortezy.
Co grają kiszki gdy jesteśmy głodni?,['marsza'],Słynna osoba lub rzecz to marsza.
Żoną którego przywódcy Argentyny była Evita?,"['Juana Perona', 'Juana Peróna']",Słynna osoba lub rzecz to Juana Perona.
Czy chrześcijanie unici uznają zwierzchność papieża?,['tak'],W literaturze Polski odpowiedź jest tak.
W którym balecie Piotra Czajkowskiego występują postacie Odetty i Zygfryda?,['w „Jeziorze Łabędzim”'],Zdarzenie miało miejsce w „Jeziorze Łabędzim”.
Trybuszon to przestarzała nazwa którego przedmiotu?,['korkociągu'],Słynna osoba lub rzecz to korkociągu.
Jak potocznie nazywano radzieckie samochody terenowe marki GAZ?,['gaziki'],Słynna osoba lub rzecz to gaziki.
Na którym cmentarzu znajduje się grób Chopina?,['na cmentarzu Père-Lachaise'],Słynna osoba lub rzecz to na cmentarzu Père-Lachaise.
W którym wieku żył polski pisarz Mikołaj Sęp-Szarzyński?,"['w XVI', '16']",Zdarzenie miało miejsce w XVI.
Czy Herbert von Karajan komponował symfonie?,['nie'],W literaturze Polski odpowiedź jest nie.
Jak nazywa się największe jezioro w Armenii?,['Sewan'],Słynna osoba lub rzecz to Sewan.
Jak miała na imię ukochana doktora Judyma z „Ludzi bezdomnych”?,['Joanna'],Słynna osoba lub rzecz to Joanna.
W którym województwie leżą Płowce?,['w kujawsko-pomorskim'],Zdarzenie miało miejsce w kujawsko-pomorskim.
Czyją ukochaną była Dalila?,['Samsona'],Słynna osoba lub rzecz to Samsona.
Czy Uniwersytet Oksfordzki mieści się w Londynie?,['nie'],W literaturze Polski odpowiedź jest nie.
Tonkin to materiał do wyrobu wędek wykonany z jakiej rośliny?,['z bambusa'],Słynna osoba lub rzecz to z bambusa.
W którym roku został podpisany traktat wersalski?,['w 1919'],Zdarzenie miało miejsce w 1919.
Jak nazywa się najniższa figura w kartach?,['walet'],Słynna osoba lub rzecz to walet.
Jak w gwarze łowieckiej nazywają się uszy zająca?,['słuchy'],Słynna osoba lub rzecz to słuchy.
W którym mieście rozgrywa się akcja West Side Story?,['w Nowym Jorku'],Zdarzenie miało miejsce w Nowym Jorku.
Przemysław Niemiec i Rafał Majka to polscy kolarze czy żużlowcy?,['kolarze'],Słynna osoba lub rzecz to kolarze.
Czym wyróżniał się dzielny żołnierzyk z ołowiu w bajce Andersena?,['nie miał nogi'],Słynna osoba lub rzecz to nie miał nogi.
Na jakiej ulicy mieszkali Elmo i Ciasteczkowy Potwór?,['na ulicy Sezamkowej'],Słynna osoba lub rzecz to na ulicy Sezamkowej.
"O kim mówimy, że „wstrzymał słońce, ruszył Ziemię”?",['Mikołaj Kopernik'],Słynna osoba lub rzecz to Mikołaj Kopernik.
"Jak nazywał się hiszpański malarz z XVII wieku, autor m.in. „Kuźni Wulkana”?",['Diego Velázquez'],Słynna osoba lub rzecz to Diego Velázquez.
Który tragicznie zmarły aktor patronuje nagrodzie dla najlepszego aktora/aktorki młodego pokolenia?,['Zbyszek Cybulski'],Słynna osoba lub rzecz to Zbyszek Cybulski.
Stańczyk był błaznem ilu królów?,"['trzech', '3']",Słynna osoba lub rzecz to trzech.
Czy ryż i bambus należą do tej samej rodziny roślin?,['tak'],W literaturze Polski odpowiedź jest tak.
Żółtodziób to drobny przestępca czy ktoś młody i niedoświadczony?,['ktoś młody i niedoświadczony'],Słynna osoba lub rzecz to ktoś młody i niedoświadczony.
Ile boków o równej długości występuje w trójkącie równoramiennym?,"['dwa', '2']",Słynna osoba lub rzecz to dwa.
Jak nazywał się dawny szlak handlowy między Chinami a Europą?,['Jedwabny Szlak'],Słynna osoba lub rzecz to Jedwabny Szlak.
"W jakim języku pisał hrabia Jan Potocki, autor m.in. Rękopisu znalezionego w Saragossie?","['we francuskim', 'po francusku']",Zdarzenie miało miejsce we francuskim.
Konformista to człowiek bezkrytycznie podporządkowujący się normom czy też sprzeciwiający się im?,['podporządkowujący się normom'],Słynna osoba lub rzecz to podporządkowujący się normom.
Co zbierał domokrążca Jarema w serialu „Wojna domowa”?,['suchy chleb dla konia'],Słynna osoba lub rzecz to suchy chleb dla konia.
Za którego króla wybudowano pałac w Wilanowie?,['za Jana III Sobieskiego'],Słynna osoba lub rzecz to za Jana III Sobieskiego.
Kwas askorbinowy to jaka witamina?,"['witamina C', 'C']",Słynna osoba lub rzecz to witamina C.
Ilu władców Polski pochodziło z dynastii Andegawenów?,"['dwoje', '2']",Słynna osoba lub rzecz to dwoje.
"Jak nazywał się włoski reżyser, autor filmu „Ukryte pragnienie”?",['Bernardo Bertolucci'],Słynna osoba lub rzecz to Bernardo Bertolucci.
"Miłosz, Żeromski, Reymont – który z nich nie dostał Nagrody Nobla?",['Żeromski'],Słynna osoba lub rzecz to Żeromski.
"Zupa Bouillabaisse przyrządzona z ryb, homarów, krabów jest przysmakiem kuchni którego państwa?",['Francji'],Słynna osoba lub rzecz to Francji.
"Tadeusz Andrzej Bonawentura, walczył o niepodległość USA. Jak brzmi jego nazwisko?",['Kościuszko'],Słynna osoba lub rzecz to Kościuszko.
"Jak nazywa się równoległobok, którego długości wszystkich boków są równe?",['kwadrat'],Słynna osoba lub rzecz to kwadrat.
Ile dni ma listopad?,"['trzydzieści', '30']",Słynna osoba lub rzecz to trzydzieści.
"Jak nazywał się zmarły w 8. roku p.n.e. opiekun artystów, synonim patrona sztuki?",['Gajusz Mecenas'],Słynna osoba lub rzecz to Gajusz Mecenas.
Jaka jest druga cyfra liczby pi?,"['jeden', '1']",Słynna osoba lub rzecz to jeden.
"Jak nazywa się francuska aktorka, która zagrała główną rolę w filmach „Trzy kolory: Niebieski” Krzysztofa Kieślowskiego oraz „Sponsoring”?",['Juliette Binoche'],Słynna osoba lub rzecz to Juliette Binoche.
Estragon to roślina zielna czy enzym produkowany przez wątrobę?,['roślina zielna'],Słynna osoba lub rzecz to roślina zielna.
Który książkowy bohater swoją wybrankę nazwał Dulcyneą?,['Don Kichot'],Słynna osoba lub rzecz to Don Kichot.
"Jak nazywał się mizantrop, główny bohater Świętoszka?",['Orgon'],Słynna osoba lub rzecz to Orgon.
"Jaką dyscyplinę uprawia Patrick Chan, dwukrotny mistrz świata?",['łyżwiarstwo figurowe'],Słynna osoba lub rzecz to łyżwiarstwo figurowe.
W którym wieku został wydany pierwszy polski znaczek pocztowy?,"['w XIX', '19']",Zdarzenie miało miejsce w XIX.
W pobliżu jakiego jeziora rozgrywa się akcja Balladyny Juliusza Słowackiego?,['Gopła'],Słynna osoba lub rzecz to Gopła.
"Który malarz przedstawił na swoim obrazie Tadeusza Rejtana, który usiłuje nie dopuścić do obrad sejmu rozbiorowego?",['Jan Matejko'],Słynna osoba lub rzecz to Jan Matejko.
Którym cudem świata nazywamy coś nadspodziewanie zachwycającego?,"['ósmym', '8']",Słynna osoba lub rzecz to ósmym.
Jaki angielski skrót nosi agenda ONZ ds. rolnictwa i żywności?,['FAO'],Słynna osoba lub rzecz to FAO.
Jak nazywa się krótką łopatkę żołnierską?,['saperka'],Słynna osoba lub rzecz to saperka.
Kim był Seweryn dla Cezarego Baryki w Przedwiośniu?,['ojcem'],Słynna osoba lub rzecz to ojcem.
Jakiej rasy jest tytułowy bohater serialu Komisarz Alex?,['owczarek niemiecki'],Słynna osoba lub rzecz to owczarek niemiecki.
Ile kół miała kwadryga?,"['dwa', '2']",Słynna osoba lub rzecz to dwa.
Jak miał na imię stryj i opiekun Zbyszka z Bogdańca?,['Maćko'],Słynna osoba lub rzecz to Maćko.
Ile wynosi pierwiastek kwadratowy z dziewięciu?,['3'],Rok wydarzenia to 3.
Ile wież wznosi się w tytule drugiego tomu powieści „Władca Pierścieni”?,"['dwie', '2']",Słynna osoba lub rzecz to dwie.
Z którego państwa pochodzi herbata Junnan?,['z Chin'],Słynna osoba lub rzecz to z Chin.
Ile dni liczy pierwszy kwartał roku przestępnego?,['91 dni'],Rok wydarzenia to 91 dni.
"Tycjan, Michał Anioł, Leonardo da Vinci – tworzyli w której epoce?","['renesansu', 'odrodzenia']",Słynna osoba lub rzecz to renesansu.
Jakim kolorem określa się makabryczne żarty?,['czarnym'],Słynna osoba lub rzecz to czarnym.
"Kto był ojcem Sema, Chama i Jafeta?",['Noe'],Słynna osoba lub rzecz to Noe.
Czy hafn to pierwiastek?,['tak'],W literaturze Polski odpowiedź jest tak.
Imię którego świętego noszą znaki drogowe–krzyże ustawiane przed przejazdami kolejowymi?,['Andrzeja'],Słynna osoba lub rzecz to Andrzeja.
"Jakiej wody należy nalać do akwarium, w którym znajdują się gupiki?",['słodkiej'],Słynna osoba lub rzecz to słodkiej.
Co dawniej nazywano inkaustem?,['atrament'],Słynna osoba lub rzecz to atrament.
Jak brzmi polska nazwa pierwiastka calcium?,['wapń'],Słynna osoba lub rzecz to wapń.
W którym mieście mieszkał Batman?,['w Gotham City'],Zdarzenie miało miejsce w Gotham City.
Z którego państwa pochodzi papież Franciszek?,['z Argentyny'],Słynna osoba lub rzecz to z Argentyny.
Jak miał na imię starszy brat Tomasza Manna?,['Henryk'],Słynna osoba lub rzecz to Henryk.
Co zrobiła baba ze swoim kogutem według ludowej piosenki?,['wsadziła go do buta'],Słynna osoba lub rzecz to wsadziła go do buta.
Która konferencja szefów trzech mocarstw odbyła się wcześniej – w Jałcie czy w Poczdamie?,['w Jałcie'],Zdarzenie miało miejsce w Jałcie.
W którym mieście zginął św. Paweł Apostoł?,['w Rzymie'],Zdarzenie miało miejsce w Rzymie.
Kto w „Ogniem i Mieczem” rywalizował ze Skrzetuskim o rękę Heleny Kurcewiczówny?,['Bohun'],Słynna osoba lub rzecz to Bohun.
W jakiej dziedzinie przyznawana jest Nagroda Kościelskich?,['literatury'],Słynna osoba lub rzecz to literatury.
Paweł czy Gaweł – kto „był spokojny i nie wadził nikomu”?,['Paweł'],Słynna osoba lub rzecz to Paweł.
Proszę rozwinąć skrót IPN.,['Instytut Pamięci Narodowej'],Słynna osoba lub rzecz to Instytut Pamięci Narodowej.
"Przez co, według przysłowia, prowadzi droga do serca mężczyzny?",['przez żołądek'],Słynna osoba lub rzecz to przez żołądek.
Metr kwadratowy ile to centymetrów kwadratowych?,['10000'],Rok wydarzenia to 10000.
Co jest przedmiotem onejromancji?,['sny'],Słynna osoba lub rzecz to sny.
Kto oprócz Józefa Piłsudskiego nosił tytuł Naczelnika Państwa?,['nikt'],Słynna osoba lub rzecz to nikt.
Czy w Ameryce Północnej występują torbacze?,['tak'],W literaturze Polski odpowiedź jest tak.
Jak nazywa się przewód łączący jamę bębenkową z gardłem?,['trąbka Eustachiusza'],Słynna osoba lub rzecz to trąbka Eustachiusza.
Z jaką dyscypliną sportu związany był trener Kazimierz Górski?,['z piłką nożną'],Słynna osoba lub rzecz to z piłką nożną.
Jak nazywa się nauka zajmująca się badaniem komórek?,['cytologia'],Słynna osoba lub rzecz to cytologia.
Które miasto holenderskie zostało wyzwolone 30 września 1944 r. przez dywizję gen. Maczka?,['Breda'],Słynna osoba lub rzecz to Breda.
Z którego państwa pochodzi gwardia papieska?,['ze Szwajcarii'],Słynna osoba lub rzecz to ze Szwajcarii.
Czy Kambodża ma dostęp do morza?,['tak'],W literaturze Polski odpowiedź jest tak.
W którym mieście odbywają się gale wręczenia Oscarów?,['w Los Angeles'],Zdarzenie miało miejsce w Los Angeles.
"Jak miała na imię Królowa Bałtyku, która kochała rybaka i musiała ponieść za to karę?",['Jurata'],Słynna osoba lub rzecz to Jurata.
"Jak nazywał się amerykański pisarz, twórca postaci Jasona Bourne’a?",['Robert Ludlum'],Słynna osoba lub rzecz to Robert Ludlum.
Czy ziarna zbóż zawierają krochmal?,['tak'],W literaturze Polski odpowiedź jest tak.
Jak w kościele katolickim nazywa się obrzęd usunięcia szatana z osoby opętanej?,['egzorcyzm'],Słynna osoba lub rzecz to egzorcyzm.
Dokończ przysłowie: „Kazał pan...”,['musiał sam'],Słynna osoba lub rzecz to musiał sam.
Czy aktorzy Paweł i Rafał Królikowscy są spokrewnieni?,['tak'],W literaturze Polski odpowiedź jest tak.
Czy węglowodany to cukry?,['tak'],W literaturze Polski odpowiedź jest tak.
Z którego państwa pochodził słynny reżyser Alfred Hitchcock?,['z Wielkiej Brytanii'],Słynna osoba lub rzecz to z Wielkiej Brytanii.
W którym mieście urodził się Mikołaj Kopernik?,['w Toruniu'],Zdarzenie miało miejsce w Toruniu.
W którym polskim mieście znajduje się Piernikowa Aleja Gwiazd?,['w Toruniu'],Zdarzenie miało miejsce w Toruniu.
Który ptak potrafi naśladować ludzką mowę: słowik czy gwarek?,['gwarek'],Słynna osoba lub rzecz to gwarek.
Jak nazywa się jedna z największych zapór na świecie na rzece Kolorado?,"['zapora Hoovera', 'tama Hoovera']",Słynna osoba lub rzecz to zapora Hoovera.
Jak nazywają się jadalne liście cebuli?,['szczypior'],Słynna osoba lub rzecz to szczypior.
Jak nazywa się proces okresowego zrzucania skóry u płazów i gadów?,['linienie'],Słynna osoba lub rzecz to linienie.
"Jak miała na imię córka Horeszki, w której był zakochany Jacek Soplica?",['Ewa'],Słynna osoba lub rzecz to Ewa.
W czasach której dynastii Szczerbiec stał się mieczem koronacyjnym?,['Piastów'],Słynna osoba lub rzecz to Piastów.
Królem którego państwa został w 2013 Wilhelm Aleksander?,"['Niderlandów', 'Holandii']",Słynna osoba lub rzecz to Niderlandów.
W jakim serialu główne role Natalii i Ludwika Boskich odgrywają Małgorzata Kożuchowska i Tomasz Karolak?,['Rodzinka.pl'],Słynna osoba lub rzecz to Rodzinka.pl.
"Jakiej narodowości był Willem Barents, który odkrył cieśninę Spitsbergen?","['holenderskiej', 'był Holendrem']",Słynna osoba lub rzecz to holenderskiej.
Jak nazywa się biały barwnik kory brzozowej?,['betulina'],Słynna osoba lub rzecz to betulina.
Ile lat Charles De Gaulle był prezydentem Francji?,['10 lat'],Rok wydarzenia to 10 lat.
Jak z języka włoskiego nazywał się w hitlerowskich obozach więzień pełniący funkcję dozorcy innych więźniów?,['kapo'],Słynna osoba lub rzecz to kapo.
Przed czym przestrzega Stanisław Jachowicz w bajce pt. „Chory kotek”?,['przed obżarstwem'],Słynna osoba lub rzecz to przed obżarstwem.
"Jak nazywa się francuska pieśń rewolucyjna, hymn Francji?",['Marsylianka'],Słynna osoba lub rzecz to Marsylianka.
"Jak nazywa się ojczyzna d'Artagnana, kraina w południowo-zachodniej Francji?",['Gaskonia'],Słynna osoba lub rzecz to Gaskonia.
Jak nazywa się wieś nad Wartą z pałacem Raczyńskich i skupiskiem starych dębów?,['Rogalin'],Słynna osoba lub rzecz to Rogalin.
Za którego króla powstał Trybunał Koronny i Trybunał Litewski?,['za Stefana Batorego'],Słynna osoba lub rzecz to za Stefana Batorego.
Cieśnina Bab-al-Mandab zwana też „Bramą Łez” oddziela które dwa kontynenty?,"['Afrykę i Azję', 'Azję i Afrykę']",Słynna osoba lub rzecz to Afrykę i Azję.
Jak nazywa się największy współczesny płaz?,['salamandra olbrzymia'],Słynna osoba lub rzecz to salamandra olbrzymia.
Jeżowiec jadalny to zwierzę czy roślina?,['zwierzę'],Słynna osoba lub rzecz to zwierzę.
Mitologiczna wojowniczka i wielka rzeka południowoamerykańska to...?,['Amazonka'],Słynna osoba lub rzecz to Amazonka.
Jak nazywa się zdolność poruszania przedmiotami bez dotykania ich?,['psychokineza'],Słynna osoba lub rzecz to psychokineza.
Pomnik którego polskiego bohatera narodowego znajduje się w West Point?,['Tadeusza Kościuszki'],Słynna osoba lub rzecz to Tadeusza Kościuszki.
Od nazwy której miejscowości pochodzi nazwa Pojezierze Leszczyńskie?,['od Leszna'],Słynna osoba lub rzecz to od Leszna.
Dzielnicą którego miasta jest Tyniec?,['Krakowa'],Słynna osoba lub rzecz to Krakowa.
Czy Anna Dymna zagrała we wszystkich trzech filmach o Kargulach i Pawlakach?,['nie'],W literaturze Polski odpowiedź jest nie.
"Czyim synem był Ugedej, wielki chan mongolski?","['Czyngis-chana', 'Dżyngis-chana']",Słynna osoba lub rzecz to Czyngis-chana.
Do którego morza uchodzi Nil?,['do Morza Śródziemnego'],Słynna osoba lub rzecz to do Morza Śródziemnego.
Jak brzmi celownik imienia Pinokio: Pinokiu czy Pinokiowi?,['Pinokiowi'],Słynna osoba lub rzecz to Pinokiowi.
Jak brzmi harcerskie pozdrowienie?,['Czuwaj!'],Słynna osoba lub rzecz to Czuwaj!.
"Rozetka, angorka, szylkret – to rasy którego zwierzęcia?",['świnki morskiej'],Słynna osoba lub rzecz to świnki morskiej.
Jak dawniej nazywał się w Polsce atrament?,['inkaust'],Słynna osoba lub rzecz to inkaust.
Która z wielkich religii monoteistycznych jest najmłodsza?,['islam'],Słynna osoba lub rzecz to islam.
Jak nazywa się artysta rzeźbiący w drewnie?,['snycerz'],Słynna osoba lub rzecz to snycerz.
Kto był pierwszym prezesem powołanego w 1925 PEN clubu?,['Stefan Żeromski'],Słynna osoba lub rzecz to Stefan Żeromski.
"Jak popularnie nazywamy mieszańca, psa nierasowego?",['kundel'],Słynna osoba lub rzecz to kundel.
O kim mówimy że ma lepkie ręce?,['o złodzieju'],Słynna osoba lub rzecz to o złodzieju.
Cena paskarska to cena zawyżona czy zaniżona?,['zawyżona'],Słynna osoba lub rzecz to zawyżona.
Koronaroplastyka to zabieg stomatologiczny czy kardiologiczny?,['kardiologiczny'],Słynna osoba lub rzecz to kardiologiczny.
Na którym wzgórzu Rzymu znajdowała się świątynia Jowisza?,['na Kapitolu'],Słynna osoba lub rzecz to na Kapitolu.
"Jak miał na imię Sławek, marszałek Sejmu przed wojną?",['Walery'],Słynna osoba lub rzecz to Walery.
Jak w dawnym polskim prawie nazywał się spadek pozostawiony bez dziedziców i testamentu?,['kaduk'],Słynna osoba lub rzecz to kaduk.
Z ilu konkurencji składa się kombinacja norweska?,"['dwóch', '2']",Słynna osoba lub rzecz to dwóch.
Na jakim instrumencie gra Woody Allen?,['na klarnecie'],Słynna osoba lub rzecz to na klarnecie.
W której części ciała znajduje się narząd Cortiego?,['w uchu'],Zdarzenie miało miejsce w uchu.
Kto pierwszy przesłał wiadomość radiową przez Atlantyk?,['Guglielmo Marconi'],Słynna osoba lub rzecz to Guglielmo Marconi.
"Full, kareta, strit – to terminy z której gry?",['poker'],Słynna osoba lub rzecz to poker.
Tę samą nazwę mają nalepka z nazwą towaru i obowiązujący sposób zachowania się. Jaką?,['etykieta'],Słynna osoba lub rzecz to etykieta.
"Z którego państwa pochodzi armaniak, podobny do koniaku napój alkoholowy?",['z Francji'],Słynna osoba lub rzecz to z Francji.
Który zespół Pieśni i Tańca powstał wcześniej: „Śląsk” czy „Mazowsze”?,['„Mazowsze”'],Słynna osoba lub rzecz to „Mazowsze”.
Jak z łaciny nazywa się zatwierdzenie umowy międzynarodowej przez prezydenta?,['ratyfikacja'],Słynna osoba lub rzecz to ratyfikacja.
Które francuskie miasto wyzwoliła Joanna D'Arc w 1429 r.?,['Orlean'],Słynna osoba lub rzecz to Orlean.
Jak nazywa się terytorium zarządzane przez dwa państwa?,['kondominium'],Słynna osoba lub rzecz to kondominium.
Kto zagrał główną rolę męską w filmie „Nagi instynkt”?,['Michael Douglas'],Słynna osoba lub rzecz to Michael Douglas.
Profesorem którego uniwersytetu był Jan Hus?,"['praskiego', 'w Pradze']",Słynna osoba lub rzecz to praskiego.
Wirus AH1N1 to wirus grypy czy ospy?,['grypy'],Słynna osoba lub rzecz to grypy.
Jak nazywa się największy europejski dziki ssak?,['żubr'],Słynna osoba lub rzecz to żubr.
Z czego była wykonana chatka Baby Jagi w bajce braci Grimm o Jasiu i Małgosi?,['z piernika'],Słynna osoba lub rzecz to z piernika.
Z którego kraju pochodzi rasa psów doberman?,['z Niemiec'],Słynna osoba lub rzecz to z Niemiec.
Z której dynastii wywodził się król Ludwik XV?,['Burbonów'],Słynna osoba lub rzecz to Burbonów.
Z jakiej dynastii wywodził się arcyksiążę Franciszek Ferdynand?,['Habsburgów'],Słynna osoba lub rzecz to Habsburgów.
Bez czego nie ma róży w tytule filmu Stanisława Barei z Jackiem Fedorowiczem w roli głównej?,['bez ognia'],Słynna osoba lub rzecz to bez ognia.
Który bóg ukrywał się pod postacią łabędzia podczas schadzki z Ledą?,['Zeus'],Słynna osoba lub rzecz to Zeus.
Jak nazywają się równoleżniki o współrzędnych 23 stopnie 26 minut?,['zwrotniki'],Słynna osoba lub rzecz to zwrotniki.
"Kto w tradycji muzułmańskiej odbył na rumaku o imieniu Burak podróż z Mekki do Jerozolimy, a później do nieba?",['Mahomet'],Słynna osoba lub rzecz to Mahomet.
"Kto bohaterowi Autobiografii Perfectu kazał grać takie rzeczy, że jeszcze mi wstyd?",['klezmer'],Słynna osoba lub rzecz to klezmer.
